metric_category,metric_name,metric_value
Overall Metrics,total_shipments_analyzed,99.0
Overall Metrics,avg_transit_hours,94.0066
Overall Metrics,median_transit_hours,93.25
Overall Metrics,std_dev_transit_hours,64.8295
Overall Metrics,min_transit_hours,15.33
Overall Metrics,max_transit_hours,544.28
Facility Metrics,avg_facilities_per_shipment,3.8384
Facility Metrics,median_facilities_per_shipment,4.0
Facility Metrics,mode_facilities_per_shipment,4.0
Facility Metrics,avg_hours_per_facility,24.2965
Facility Metrics,median_hours_per_facility,23.34
Service Type: FEDEX_EXPRESS_SAVER,avg_transit_hours_by_service_type,94.0066
Service Type: FEDEX_EXPRESS_SAVER,avg_facilities_by_service_type,3.8384
Service Type: FEDEX_EXPRESS_SAVER,count_shipments_by_service_type,99.0
Delivery Performance,pct_first_attempt_delivery,84.8485
Delivery Performance,avg_out_for_delivery_attempts,0.9697
